graph_name,demand_model,weight_mode,total_inventory,inventory_placement,fulfillment_algorithm,reward
complete,deter,rewardbased,75,fluid_lp_rounding,fluid_with_rejections_resolving,51.266357529649596
complete,deter,rewardbased,75,fluid_lp_rounding,offline_with_rejections_resolving,51.467871282491636
complete,deter,rewardbased,75,fluid_lp_rounding_withscaling,offline,52.009834369385715
complete,deter,rewardbased,75,fluid_lp_rounding_withscaling,myopic,51.95633416384129
complete,deter,rewardbased,75,fluid_lp_rounding_withscaling,fluid_with_rejections,51.95633416384129
complete,deter,rewardbased,75,fluid_lp_rounding_withscaling,offline_with_rejections,51.95706908143927
complete,deter,rewardbased,75,fluid_lp_rounding_withscaling,fluid_with_rejections_resolving,51.95332770241245
complete,deter,rewardbased,75,fluid_lp_rounding_withscaling,offline_with_rejections_resolving,51.961536452181306
complete,deter,rewardbased,75,myopic_greedy,offline,52.034520166162324
complete,deter,rewardbased,75,myopic_greedy,myopic,51.98445371627834
complete,deter,rewardbased,75,myopic_greedy,fluid_with_rejections,51.98445371627834
complete,deter,rewardbased,75,myopic_greedy,offline_with_rejections,51.9860745683988
complete,deter,rewardbased,75,myopic_greedy,fluid_with_rejections_resolving,51.98136345155524
complete,deter,rewardbased,75,myopic_greedy,offline_with_rejections_resolving,51.99046409234036
complete,deter,rewardbased,90,offline_relaxation,,52.08703024886827
complete,deter,rewardbased,90,offline_lp_rounding,offline,52.086594213210326
complete,deter,rewardbased,90,offline_lp_rounding,myopic,52.08176407669951
complete,deter,rewardbased,90,offline_lp_rounding,fluid_with_rejections,52.08176407669951
complete,deter,rewardbased,90,offline_lp_rounding,offline_with_rejections,52.08176311788928
complete,deter,rewardbased,90,offline_lp_rounding,fluid_with_rejections_resolving,52.081696372457785
complete,deter,rewardbased,90,offline_lp_rounding,offline_with_rejections_resolving,52.081870035973495
complete,deter,rewardbased,90,fluid_lp_rounding,offline,51.65100500785225
complete,deter,rewardbased,90,fluid_lp_rounding,myopic,51.39417278906295
complete,deter,rewardbased,90,fluid_lp_rounding,fluid_with_rejections,51.00737453518324
complete,deter,rewardbased,90,fluid_lp_rounding,offline_with_rejections,51.43595836819699
complete,deter,rewardbased,90,fluid_lp_rounding,fluid_with_rejections_resolving,51.266357529649596
complete,deter,rewardbased,90,fluid_lp_rounding,offline_with_rejections_resolving,51.467055749574655
complete,deter,rewardbased,90,fluid_lp_rounding_withscaling,offline,52.06993958454205
complete,deter,rewardbased,90,fluid_lp_rounding_withscaling,myopic,52.0616004202593
complete,deter,rewardbased,90,fluid_lp_rounding_withscaling,fluid_with_rejections,52.0616004202593
complete,deter,rewardbased,90,fluid_lp_rounding_withscaling,offline_with_rejections,52.06160010065591
complete,deter,rewardbased,90,fluid_lp_rounding_withscaling,fluid_with_rejections_resolving,52.06122337264832
complete,deter,rewardbased,90,fluid_lp_rounding_withscaling,offline_with_rejections_resolving,52.06210983512961
complete,deter,rewardbased,90,myopic_greedy,offline,52.08662590161544
complete,deter,rewardbased,90,myopic_greedy,myopic,52.082929397417594
complete,deter,rewardbased,90,myopic_greedy,fluid_with_rejections,52.082929397417594
complete,deter,rewardbased,90,myopic_greedy,offline_with_rejections,52.08292843860737
complete,deter,rewardbased,90,myopic_greedy,fluid_with_rejections_resolving,52.082879287513705
complete,deter,rewardbased,90,myopic_greedy,offline_with_rejections_resolving,52.082724483319126
complete,indep,uniform,30,offline_relaxation,,26.561028669134362
complete,indep,uniform,30,offline_lp_rounding,offline,26.561028669134362
complete,indep,uniform,30,offline_lp_rounding,myopic,24.428388285930613
complete,indep,uniform,30,offline_lp_rounding,fluid_with_rejections,19.49488081358386
complete,indep,uniform,30,offline_lp_rounding,offline_with_rejections,22.493066334668057
complete,indep,uniform,30,offline_lp_rounding,fluid_with_rejections_resolving,25.1275011738008
complete,indep,uniform,30,offline_lp_rounding,offline_with_rejections_resolving,25.37689651476854
complete,indep,uniform,30,fluid_lp_rounding,offline,26.534497878870887
complete,indep,uniform,30,fluid_lp_rounding,myopic,24.410273515640963
complete,indep,uniform,30,fluid_lp_rounding,fluid_with_rejections,18.758182050873387
complete,indep,uniform,30,fluid_lp_rounding,offline_with_rejections,22.54907139434486
complete,indep,uniform,30,fluid_lp_rounding,fluid_with_rejections_resolving,25.06263080994278
complete,indep,uniform,30,fluid_lp_rounding,offline_with_rejections_resolving,25.347440440348006
complete,indep,uniform,30,fluid_lp_rounding_withscaling,offline,26.527866589780043
complete,indep,uniform,30,fluid_lp_rounding_withscaling,myopic,24.529888290559306
complete,indep,uniform,30,fluid_lp_rounding_withscaling,fluid_with_rejections,19.693173450150983
complete,indep,uniform,30,fluid_lp_rounding_withscaling,offline_with_rejections,22.376808797515064
complete,indep,uniform,30,fluid_lp_rounding_withscaling,fluid_with_rejections_resolving,25.13422952023155
complete,indep,uniform,30,fluid_lp_rounding_withscaling,offline_with_rejections_resolving,25.321739258970986
complete,indep,uniform,30,myopic_greedy,offline,26.49907475181209
complete,indep,uniform,30,myopic_greedy,myopic,24.544262788215157
complete,indep,uniform,30,myopic_greedy,fluid_with_rejections,19.09501074237729
complete,indep,uniform,30,myopic_greedy,offline_with_rejections,22.254070037064217
complete,indep,uniform,30,myopic_greedy,fluid_with_rejections_resolving,25.10777569743763
complete,indep,uniform,30,myopic_greedy,offline_with_rejections_resolving,25.295563138335826
complete,indep,uniform,45,offline_relaxation,,37.765725932773584
complete,indep,uniform,45,offline_lp_rounding,offline,37.765725932773584
complete,indep,uniform,45,offline_lp_rounding,myopic,35.925301658872904
complete,indep,uniform,45,offline_lp_rounding,fluid_with_rejections,32.12808757114937
complete,indep,uniform,45,offline_lp_rounding,offline_with_rejections,36.12565753841757
complete,indep,uniform,45,offline_lp_rounding,fluid_with_rejections_resolving,35.92750157868673
complete,indep,uniform,45,offline_lp_rounding,offline_with_rejections_resolving,36.39655635425961
complete,indep,uniform,45,fluid_lp_rounding,offline,37.58622773684666
complete,indep,uniform,45,fluid_lp_rounding,myopic,35.580550122492596
complete,indep,uniform,45,fluid_lp_rounding,fluid_with_rejections,31.091113279447637
complete,indep,uniform,45,fluid_lp_rounding,offline_with_rejections,35.86825138031407
complete,indep,uniform,45,fluid_lp_rounding,fluid_with_rejections_resolving,35.809272866428415
complete,indep,uniform,45,fluid_lp_rounding,offline_with_rejections_resolving,36.155331006347744
complete,indep,uniform,45,fluid_lp_rounding_withscaling,offline,37.73065855256542
complete,indep,uniform,45,fluid_lp_rounding_withscaling,myopic,35.94350261618869
complete,indep,uniform,45,fluid_lp_rounding_withscaling,fluid_with_rejections,33.185566168172606
complete,indep,uniform,45,fluid_lp_rounding_withscaling,offline_with_rejections,36.161435647749286
complete,indep,uniform,45,fluid_lp_rounding_withscaling,fluid_with_rejections_resolving,36.00559926920298
complete,indep,uniform,45,fluid_lp_rounding_withscaling,offline_with_rejections_resolving,36.3678787008044
complete,indep,uniform,45,myopic_greedy,offline,37.69613525997524
complete,indep,uniform,45,myopic_greedy,myopic,35.97318090276182
complete,indep,uniform,45,myopic_greedy,fluid_with_rejections,32.601041240708014
complete,indep,uniform,45,myopic_greedy,offline_with_rejections,36.18784849855016
complete,indep,uniform,45,myopic_greedy,fluid_with_rejections_resolving,35.774693014908905
complete,indep,uniform,45,myopic_greedy,offline_with_rejections_resolving,36.33168186178227
complete,indep,uniform,60,offline_relaxation,,45.49661811698594
complete,indep,uniform,60,offline_lp_rounding,offline,45.49486650042415
complete,indep,uniform,60,offline_lp_rounding,myopic,44.262059917005985
complete,indep,uniform,60,offline_lp_rounding,fluid_with_rejections,43.52735096496069
complete,indep,uniform,60,offline_lp_rounding,offline_with_rejections,44.262059917005985
complete,indep,uniform,60,offline_lp_rounding,fluid_with_rejections_resolving,44.21674737540415
complete,indep,uniform,60,offline_lp_rounding,offline_with_rejections_resolving,44.53903265165176
complete,indep,uniform,60,fluid_lp_rounding,offline,45.438090103084235
complete,indep,uniform,60,fluid_lp_rounding,myopic,44.28908131267197
complete,indep,uniform,60,fluid_lp_rounding,fluid_with_rejections,42.75030790072331
complete,indep,uniform,60,fluid_lp_rounding,offline_with_rejections,44.28804539564019
complete,indep,uniform,60,fluid_lp_rounding,fluid_with_rejections_resolving,44.27046680020188
complete,indep,uniform,60,fluid_lp_rounding,offline_with_rejections_resolving,44.47098182908232
complete,indep,uniform,60,fluid_lp_rounding_withscaling,offline,45.438090103084235
